search-appleinc,$aapl OR #appleinc
search-prudential,$pru OR #prudential
search-dominionenergy,$d OR #dominionenergy
search-kimberlyclark,$kmb OR #kimberlyclark
search-illinoistoolworks,$itw OR #illinoistoolworks
search-aetna,$aet OR #aetna
search-halliburton,$hal OR #halliburton
search-raytheon,$rtn OR #raytheon
search-capitalone,$cof OR #capitalone
search-antheminc,$antm OR #antheminc
search-yahoo,$yhoo OR #yahoo
search-northropgrumman,$noc OR #northropgrumman
search-cmegroup,$cme OR #cmegroup
search-carnivalcorp,$ccl OR #carnivalcorp
search-phillips66,$psx OR #phillips66
search-publicstorage,$psa OR #publicstorage
search-bectondickinson,$bdx OR #bectondickinson
